UserID,Gender,Age,Occupation,Zip-Code
137,Female,45-49,6,78758
138,Male,18-24,20,22203
139,Female,25-34,20,45409
140,Female,35-44,1,55107
141,Male,35-44,13,62035
142,Male,25-34,7,10011
143,Male,18-24,3,64043
144,Male,25-34,17,29401
145,Male,18-24,4,19081
146,Female,35-44,20,10954
147,Male,18-24,4,91360
148,Male,50-55,17,57747
149,Male,25-34,1,29205
150,Male,35-44,7,98144
151,Female,25-34,20,85013
152,Male,18-24,4,48104
153,Male,<18,10,51537
154,Male,50-55,20,94530
155,Male,35-44,12,07470
156,Female,45-49,7,14519
157,Male,35-44,16,12866
158,Male,56+,7,28754
159,Female,45-49,0,37922
160,Male,35-44,7,13021
161,Male,45-49,16,98107-2117
162,Female,18-24,4,93117
163,Male,18-24,4,85013
164,Female,56+,13,94566
165,Male,18-24,16,98502
166,Male,18-24,4,92802
167,Female,25-34,11,10022
168,Female,50-55,0,46970
169,Male,25-34,7,55439
170,Male,25-34,11,07002
171,Female,50-55,17,55441
172,Male,25-34,3,07661
173,Male,25-34,0,45237
174,Male,25-34,16,21203
175,Female,25-34,2,95123
176,Female,18-24,3,55016
177,Male,50-55,1,54016
178,Male,56+,17,53705
179,Male,25-34,0,02135
180,Male,45-49,12,01603
181,Male,18-24,17,33186
182,Male,18-24,4,03052
183,Female,45-49,1,55407
184,Female,25-34,0,19001
185,Male,45-49,0,14468
186,Male,18-24,5,91767
187,Female,45-49,1,94061
188,Male,56+,16,79930
189,Male,18-24,0,60076
190,Male,25-34,17,55125
191,Male,18-24,4,04915
192,Male,18-24,1,10977
193,Female,45-49,15,44106
194,Female,<18,10,29146
195,Male,25-34,12,10458
196,Female,35-44,9,94587
197,Male,18-24,14,10023
198,Male,25-34,12,55108
199,Male,18-24,4,83706
200,Female,18-24,4,84321
201,Female,35-44,2,55117
202,Male,18-24,4,53706
203,Female,18-24,4,53715
204,Male,25-34,7,92123
205,Male,35-44,12,97333
206,Male,25-34,17,20194
207,Male,25-34,12,94115
208,Male,35-44,17,55432
209,Male,35-44,1,90048
210,Female,<18,10,25801
211,Male,45-49,17,90620
212,Male,25-34,16,53714
213,Female,18-24,4,01609
214,Male,18-24,20,80218
215,Male,35-44,14,92075
216,Male,45-49,13,52761
217,Male,18-24,4,22903
218,Male,35-44,14,95822
219,Female,25-34,4,55113
220,Male,25-34,12,22903
221,Female,25-34,0,94063
222,Male,25-34,1,55116
223,Male,25-34,17,28262
224,Female,18-24,4,14850
225,Male,25-34,7,11215
226,Male,35-44,1,94518
227,Male,35-44,20,90291
228,Male,25-34,15,55455
229,Male,18-24,10,04576
230,Male,45-49,1,43210
231,Male,25-34,3,55455
232,Male,25-34,20,55408
233,Female,45-49,20,37919-4204
234,Male,35-44,7,39652
235,Male,25-34,0,98153
236,Male,25-34,5,55126
237,Male,25-34,6,46835
238,Female,50-55,7,90291
239,Male,18-24,19,94618
240,Male,50-55,17,55113
241,Male,35-44,20,55121
242,Female,18-24,4,53706
243,Male,25-34,16,11576
244,Male,50-55,7,19072
245,Male,35-44,16,66046
246,Female,18-24,4,60625
247,Male,25-34,17,94404
248,Male,18-24,17,72703
249,Female,18-24,14,48126
250,Male,35-44,16,11229
251,Male,56+,17,55105
252,Male,25-34,12,94112
253,Female,25-34,11,97370
254,Male,35-44,17,49015
255,Male,35-44,0,85310
256,Male,45-49,16,55076
257,Male,18-24,18,55113
258,Male,25-34,7,55436
259,Male,25-34,1,60615
260,Male,18-24,19,98126
261,Male,25-34,20,75801
262,Female,25-34,1,68503
263,Female,25-34,7,22304
264,Male,35-44,0,20755
265,Female,35-44,7,55116
266,Male,35-44,11,75229
267,Male,45-49,12,55001
268,Female,18-24,12,29708
269,Male,25-34,2,55408
270,Male,50-55,14,55414
271,Male,18-24,4,48202
272,Male,18-24,0,80302
273,Male,18-24,4,55427
274,Male,18-24,4,55455
275,Male,25-34,0,48162
276,Male,45-49,16,01982
277,Female,35-44,1,98126
278,Male,45-49,18,60482
279,Male,25-34,14,91214
280,Male,50-55,7,19118
281,Female,35-44,0,94117
282,Male,25-34,17,94401
283,Male,25-34,0,10003
284,Male,25-34,12,91910
285,Female,35-44,0,94109
286,Male,25-34,1,54601
287,Male,50-55,13,94706
288,Female,25-34,12,97119
289,Female,25-34,0,11801
290,Female,25-34,20,94591
291,Male,35-44,12,55110
292,Male,35-44,7,19406
293,Male,56+,1,55337-4056
294,Female,45-49,9,43147
295,Male,18-24,0,80203
296,Male,50-55,5,89432
297,Male,18-24,2,97211
298,Female,18-24,4,19010
299,Male,25-34,12,97370
300,Male,25-34,7,78664
301,Male,18-24,4,61820
302,Male,18-24,4,04901
303,Male,25-34,7,20006
304,Male,25-34,0,55414
305,Female,18-24,0,55414
306,Male,18-24,0,53051
307,Male,50-55,16,90027
308,Male,25-34,2,10025
309,Male,25-34,4,16801
310,Female,18-24,4,31207
311,Male,18-24,4,31201
312,Female,50-55,2,22207
313,Female,18-24,4,02138
314,Female,56+,9,46911
315,Female,56+,1,55105
316,Male,56+,13,90740
317,Male,35-44,7,38555
318,Female,56+,13,55104
319,Female,50-55,6,33436
320,Male,35-44,6,99516
321,Male,18-24,4,55128
322,Male,56+,17,55117
323,Male,45-49,12,53716
324,Male,35-44,17,55106
325,Female,50-55,3,55112
326,Male,50-55,11,25302
327,Male,35-44,18,55448
328,Male,35-44,12,80401
329,Male,35-44,7,02115
330,Male,56+,7,92065
331,Male,25-34,7,55902
332,Male,50-55,1,55109
333,Male,35-44,2,55410
334,Female,56+,2,55113
335,Male,35-44,18,55434
336,Male,18-24,0,98765
337,Male,18-24,19,80205
338,Male,35-44,7,55116
339,Male,50-55,7,80207
340,Female,25-34,3,28001
341,Female,56+,13,92119
342,Male,18-24,12,55076
343,Female,35-44,3,55127
344,Male,35-44,14,75034
345,Male,25-34,12,94114
346,Female,25-34,0,55110
347,Female,56+,1,55305
348,Male,50-55,7,55110
349,Male,<18,10,08035
350,Male,45-49,20,08035
351,Male,18-24,4,55105
352,Male,18-24,4,60115
353,Female,35-44,7,92625
354,Male,35-44,1,55117
355,Male,18-24,3,55107
356,Male,56+,20,55101
357,Male,18-24,0,98103
358,Female,56+,1,20815
359,Male,25-34,17,55128
360,Male,35-44,17,28208
361,Female,25-34,14,94115
362,Male,35-44,20,55407
363,Male,18-24,10,55419
364,Female,35-44,1,46815
365,Female,18-24,4,02138
366,Male,50-55,15,55126
367,Male,50-55,12,55421
368,Male,25-34,0,90293
369,Male,35-44,1,55110
370,Male,18-24,17,22304
371,Male,18-24,4,02141
372,Female,18-24,4,72227
373,Female,25-34,2,55347
374,Female,35-44,14,55346
375,Male,25-34,2,55106
376,Male,35-44,1,80026
377,Male,25-34,17,55418
378,Female,18-24,0,55105
379,Female,35-44,1,54822
380,Male,25-34,2,92024
381,Male,35-44,17,89015
382,Female,35-44,20,66205
383,Female,25-34,7,78757
384,Male,25-34,11,55075
385,Male,25-34,6,68131
386,Male,25-34,0,55408
387,Female,35-44,7,55111
388,Female,25-34,0,10021
389,Male,25-34,6,68128
390,Male,25-34,4,55405
391,Male,45-49,11,22122
392,Male,18-24,7,20037
393,Male,35-44,17,55402
394,Male,18-24,0,55013
395,Male,18-24,5,55104
396,Male,25-34,1,56187
397,Male,35-44,17,22124
398,Male,25-34,17,55454
399,Female,35-44,6,55128
400,Female,18-24,3,55422
401,Male,18-24,0,55129
402,Male,25-34,11,55427
403,Male,18-24,4,02138
404,Male,18-24,4,10128
405,Male,56+,1,13077
406,Male,25-34,20,55105
407,Male,18-24,17,89503
408,Male,25-34,11,02143
409,Male,18-24,12,55122
410,Female,25-34,1,55417
411,Female,45-49,1,43214
412,Male,35-44,15,55117
413,Male,25-34,11,55409
414,Male,25-34,0,55317
415,Female,35-44,0,55406
416,Male,45-49,14,55076
417,Female,25-34,0,50613
418,Female,25-34,3,54016
419,Male,18-24,3,55422
420,Male,35-44,1,55406
421,Female,45-49,3,55125
422,Male,56+,17,55104
423,Male,18-24,4,55455
424,Male,25-34,17,55112
425,Male,25-34,12,55303
426,Male,18-24,4,55455
427,Male,35-44,12,55104
428,Female,18-24,4,55455
429,Male,18-24,0,54901
430,Female,18-24,10,55306
431,Male,18-24,10,55303
432,Male,45-49,16,55306
433,Male,50-55,6,55115
434,Female,45-49,3,98155
435,Male,25-34,7,55125
436,Male,18-24,4,43023
437,Male,35-44,17,55030
438,Male,18-24,11,53705
439,Male,35-44,14,55129
440,Male,56+,1,32940
441,Male,35-44,1,55127
442,Male,25-34,1,55105
443,Male,25-34,3,55421
444,Male,56+,0,55108
445,Male,45-49,12,55117
446,Female,50-55,0,55042
447,Female,45-49,11,55105
448,Male,25-34,17,80123
449,Male,25-34,7,85037
450,Male,45-49,1,24523
451,Male,56+,13,54720
452,Male,50-55,17,55117
453,Male,18-24,4,55102
454,Male,25-34,20,55092
455,Female,35-44,2,55113
456,Male,35-44,0,55105
457,Male,18-24,4,54703
458,Male,50-55,16,55405-2546
459,Female,18-24,4,55105
460,Male,45-49,18,55313
461,Male,50-55,7,55075
462,Male,18-24,16,55416
463,Male,25-34,7,55105
464,Female,18-24,4,55455
465,Male,18-24,19,94523
466,Male,25-34,5,55405
467,Female,35-44,3,55075
468,Female,<18,10,55082
469,Male,35-44,6,55122
470,Female,<18,10,55068
471,Male,35-44,7,08904
472,Male,35-44,0,55418
473,Female,18-24,4,55112
474,Male,25-34,17,92126
475,Female,25-34,2,55421
476,Male,35-44,0,55127
477,Male,35-44,14,55410
478,Male,50-55,16,55113
479,Male,25-34,12,55042
480,Female,18-24,4,55422
481,Male,45-49,7,55115
482,Male,25-34,14,55305
483,Male,18-24,12,55105
484,Female,<18,10,55104
485,Male,56+,7,55042
486,Male,56+,0,91367
487,Female,35-44,17,55082
488,Male,25-34,12,55107
489,Male,18-24,4,55455
490,Male,<18,10,55345
491,Male,18-24,4,56043
492,Male,25-34,12,55112
493,Male,50-55,7,55016
494,Female,35-44,0,17870
495,Male,18-24,10,55421
496,Male,18-24,4,55455
497,Female,25-34,17,55412
498,Male,35-44,17,55113
499,Female,25-34,1,55108
500,Female,18-24,2,55105
501,Male,25-34,2,55372
502,Male,35-44,6,55126
503,Male,35-44,11,73120
504,Male,25-34,2,17003
505,Male,35-44,17,37815
506,Male,25-34,16,55103-1006
507,Female,25-34,0,55405
508,Male,25-34,12,55418
509,Male,25-34,2,55125
510,Male,18-24,12,55109
511,Female,45-49,4,15232
512,Male,35-44,0,55379
513,Male,25-34,0,55119
514,Male,25-34,2,55113
515,Male,25-34,1,55406
516,Female,56+,14,55033
517,Female,25-34,14,55408
518,Female,35-44,12,75240
519,Female,35-44,14,55038
520,Female,35-44,20,55104
521,Male,56+,7,55105
522,Male,25-34,12,55124
523,Male,50-55,7,55105
524,Male,18-24,0,91320
525,Male,35-44,6,19027
526,Male,45-49,17,94806
527,Female,25-34,2,11201
528,Female,18-24,17,83843
529,Male,35-44,12,92009
530,Male,25-34,2,10019
531,Female,18-24,14,22206
532,Male,25-34,7,94301
533,Male,25-34,12,27514
534,Male,25-34,15,55902
535,Male,35-44,6,95370
536,Male,25-34,20,01267
537,Male,45-49,14,07704
538,Male,56+,16,95407
539,Male,25-34,2,55103
540,Male,18-24,1,15213
541,Female,18-24,4,5849574
542,Male,18-24,4,78705
543,Male,25-34,5,55057
544,Male,35-44,12,94538
545,Male,35-44,17,01890
546,Female,25-34,0,37211
547,Male,35-44,12,76109
548,Female,35-44,16,96860
549,Male,25-34,6,53217
550,Male,45-49,8,21559
551,Male,35-44,20,55116
552,Male,50-55,18,23456
553,Male,25-34,2,94131
554,Male,25-34,12,94086
555,Male,18-24,4,53213
556,Female,25-34,9,37221
557,Male,56+,1,30030
558,Male,35-44,20,55108
559,Female,25-34,7,60422
560,Male,45-49,15,81335
561,Female,18-24,14,64060
562,Male,35-44,20,48083
563,Male,25-34,4,53703
564,Male,45-49,1,49419
565,Male,25-34,16,45242
566,Male,25-34,17,92122
567,Male,35-44,20,52570-9634
568,Female,50-55,17,19716
569,Female,18-24,4,97339
570,Male,25-34,4,33314
571,Male,50-55,5,95401
572,Male,18-24,4,61801
573,Female,35-44,2,98119
574,Male,25-34,19,90214
575,Male,25-34,12,92130
576,Female,45-49,15,20910
577,Male,35-44,0,02115
578,Male,18-24,17,90064
579,Male,25-34,5,32839
580,Male,<18,10,08534
581,Male,50-55,14,73543
582,Male,18-24,4,67042
583,Female,25-34,0,48067
584,Female,25-34,0,94403
585,Male,18-24,1,53703
586,Male,35-44,14,53092
587,Male,25-34,20,92649
588,Female,25-34,11,23220
589,Male,18-24,2,90210
590,Female,35-44,6,98032
591,Male,25-34,0,76201
592,Male,18-24,0,92103
593,Female,50-55,1,91711
594,Female,56+,13,60076
595,Male,25-34,7,10019
596,Female,25-34,1,01950
597,Male,35-44,12,80206
598,Male,35-44,7,95476
599,Male,50-55,6,53711
600,Male,35-44,17,66209
601,Female,18-24,20,06320
602,Female,56+,6,14612
603,Female,25-34,6,32256
604,Male,45-49,17,32256
605,Female,18-24,4,44425
606,Female,<18,10,49507
607,Male,25-34,0,43614
608,Male,18-24,4,18011
609,Male,25-34,7,10012
610,Male,25-34,4,77025
611,Male,35-44,0,20715
612,Male,50-55,7,95020
613,Male,35-44,20,10562
614,Male,35-44,1,90024
615,Male,50-55,17,32951
616,Male,25-34,7,94115
617,Female,25-34,7,92117
618,Male,25-34,0,74105
619,Female,18-24,1,94706
620,Male,18-24,0,13210
621,Male,18-24,4,93560
622,Male,25-34,0,92612
623,Male,25-34,17,60555
624,Male,25-34,1,75207
625,Female,35-44,12,44106
626,Male,18-24,4,77005
627,Male,50-55,2,97210
628,Female,35-44,0,20715
629,Female,<18,10,48154
630,Female,35-44,14,80525
631,Male,35-44,17,28601
632,Male,45-49,17,07649
633,Male,25-34,17,94131
634,Female,<18,10,49512
635,Male,56+,17,33785
636,Male,18-24,20,92055
637,Male,35-44,12,97132
638,Male,25-34,6,77584
639,Male,45-49,17,85202
640,Male,18-24,4,47406
641,Female,35-44,0,55116
642,Female,35-44,1,78155
643,Male,25-34,2,23188
644,Male,25-34,20,93704
645,Male,35-44,20,11215
646,Male,35-44,7,08505
647,Male,35-44,12,85224
648,Female,25-34,12,94131
649,Male,25-34,4,80526
650,Male,25-34,17,49445
651,Male,35-44,7,20895
652,Male,18-24,20,12222
653,Male,56+,13,92660
654,Male,50-55,7,75023
655,Female,25-34,2,92629
656,Female,45-49,16,92106
657,Female,50-55,13,34691
658,Female,25-34,0,10021
659,Female,25-34,0,28134
660,Male,45-49,16,70507
661,Male,45-49,1,13114
662,Male,18-24,4,99163
663,Female,25-34,7,12345
664,Male,35-44,18,74601
665,Male,18-24,2,13317
666,Female,18-24,0,08540
667,Male,25-34,18,98438
668,Female,25-34,3,22042
669,Male,25-34,17,30307
670,Male,25-34,12,30303
671,Male,18-24,4,61761
672,Male,35-44,7,46845
673,Male,25-34,20,10023
674,Male,25-34,17,22042
675,Male,25-34,20,02048
676,Male,18-24,16,55129
677,Male,50-55,2,94122
678,Male,25-34,0,34952
679,Male,35-44,16,29681
680,Male,25-34,12,37013
681,Male,35-44,7,30501
682,Male,25-34,4,27510
683,Male,25-34,4,27514
684,Male,25-34,4,27510
685,Male,25-34,4,27514
686,Male,18-24,4,27514
687,Female,25-34,7,14136
688,Male,56+,13,13407
689,Female,50-55,0,48103
690,Male,25-34,12,90717
691,Male,35-44,11,96813
692,Female,25-34,0,85207
693,Male,35-44,12,98103
694,Male,18-24,4,76401
695,Female,18-24,1,04240
696,Male,25-34,12,94114
697,Female,50-55,6,97330
698,Male,18-24,4,76401
699,Male,18-24,0,73505
700,Male,50-55,17,14650
701,Female,18-24,4,01002
702,Male,35-44,7,90808
703,Female,56+,1,44074
704,Female,35-44,8,85712
705,Male,25-34,4,48065
706,Male,35-44,20,78664
707,Male,35-44,7,17740
708,Male,25-34,0,37042
709,Male,18-24,0,92647
710,Male,25-34,20,85207
711,Male,25-34,18,80521
712,Male,25-34,0,95136
713,Male,35-44,7,79912
714,Male,18-24,4,76013
715,Male,18-24,0,53715
716,Male,18-24,4,98188
717,Male,25-34,11,90211
718,Male,18-24,2,90211
719,Male,<18,0,75070
720,Male,18-24,0,55129
721,Female,35-44,9,97520
722,Male,25-34,12,55106
723,Male,25-34,12,98027
724,Male,50-55,13,90266
725,Male,56+,11,08904
726,Female,25-34,9,77449
727,Male,35-44,11,94061
728,Male,25-34,6,11598
729,Male,35-44,12,85284
730,Male,25-34,0,10580
731,Male,45-49,3,55410
732,Male,25-34,7,07030
733,Male,35-44,16,30034
734,Male,25-34,7,90078
735,Male,25-34,14,04240
736,Male,18-24,12,07070
737,Male,<18,19,53711
738,Male,18-24,17,99205
739,Male,35-44,12,55803
740,Male,25-34,14,24551
741,Male,25-34,5,44095
742,Male,18-24,0,54758
743,Female,<18,2,60660
744,Male,25-34,17,77007
745,Male,<18,10,90004
746,Female,18-24,19,95019
747,Male,18-24,4,98606
748,Male,25-34,0,60098
749,Male,35-44,18,56303
750,Female,35-44,9,13066
751,Female,25-34,17,97201
752,Female,25-34,3,97401
753,Male,<18,10,42754
754,Male,35-44,7,38024
755,Female,35-44,0,94002
756,Male,35-44,0,90064
757,Male,25-34,12,97401
758,Male,35-44,7,19518
759,Female,56+,3,89156
760,Male,56+,15,94114
761,Male,18-24,7,99945
762,Male,<18,10,63041
763,Male,18-24,10,02882
764,Male,18-24,20,85296
765,Male,25-34,17,74467
766,Female,25-34,7,95128
767,Male,25-34,12,45241
768,Male,25-34,12,17067
769,Male,45-49,17,02421
770,Male,18-24,4,98499
771,Female,50-55,1,75087
772,Male,18-24,12,89118
773,Male,25-34,6,48108
774,Male,18-24,4,22903
775,Male,<18,17,56258
776,Female,25-34,3,92627
777,Male,18-24,19,87543
778,Male,18-24,17,32694
779,Male,25-34,0,60156
780,Male,25-34,17,91776
781,Male,18-24,4,95076
782,Male,56+,1,28223
783,Male,25-34,4,53703
784,Male,18-24,0,11040
785,Male,18-24,19,29307
786,Male,25-34,0,55987
787,Male,18-24,4,77802
788,Male,25-34,0,37601
789,Male,18-24,1,67212
790,Male,25-34,17,45694
791,Male,35-44,7,27511
792,Male,25-34,17,01002
793,Female,35-44,14,37043
794,Male,50-55,20,10543
795,Female,35-44,14,19147
796,Male,50-55,6,98237
797,Female,50-55,7,20175
798,Female,25-34,20,48464
799,Female,25-34,5,98498
800,Female,35-44,12,72032
801,Female,25-34,20,95776
802,Male,25-34,16,22801
803,Male,18-24,4,67217
804,Male,25-34,20,90032
805,Male,35-44,12,37211
806,Male,35-44,0,34990
807,Male,18-24,4,89015
808,Male,25-34,7,85226
809,Male,25-34,17,70508
810,Male,25-34,12,98006
811,Male,50-55,0,94043
812,Male,25-34,6,37930
813,Male,18-24,4,70002
814,Female,18-24,4,92612
815,Male,25-34,4,37130
816,Male,45-49,0,92108
817,Male,18-24,4,41076
818,Male,18-24,4,60107
819,Male,35-44,7,60611
820,Male,35-44,7,78759
821,Male,18-24,2,14456
822,Female,25-34,1,07666
823,Male,25-34,0,92078
824,Male,35-44,12,94530
825,Male,56+,1,39532
826,Female,35-44,1,80210
827,Male,45-49,2,55409
828,Male,18-24,4,70817
829,Male,<18,19,53711
830,Male,35-44,7,60657
831,Female,45-49,0,20874
832,Male,18-24,2,19464
833,Male,35-44,7,46825
834,Female,35-44,12,78640
835,Male,56+,0,94952
836,Male,25-34,11,10023
837,Male,56+,7,08540
838,Male,50-55,17,92661
839,Male,25-34,0,98103
840,Female,25-34,3,02828
841,Female,50-55,14,92119
842,Female,18-24,0,55102
843,Male,25-34,7,49321
844,Male,25-34,0,92121
845,Female,18-24,0,20009
846,Male,25-34,5,80209
847,Female,25-34,7,80228
848,Male,25-34,15,94121
849,Male,25-34,3,75006
850,Male,35-44,0,60640
851,Male,18-24,4,75287
852,Male,25-34,5,92105
853,Male,25-34,17,55447
854,Female,25-34,16,44092
855,Female,18-24,2,72701
856,Female,45-49,6,02453
857,Male,35-44,17,11701
858,Male,35-44,14,10013
859,Male,25-34,12,10128
860,Male,18-24,0,78237
861,Male,25-34,7,37027
862,Male,35-44,7,10019
863,Male,25-34,7,62522
864,Female,25-34,0,97205
865,Male,35-44,1,91711
866,Male,<18,10,08820
867,Male,45-49,12,95814
868,Male,50-55,17,01702-7224
869,Male,18-24,20,92026
870,Female,25-34,1,02144
871,Male,<18,10,76013
872,Male,50-55,1,20815
873,Male,56+,6,19027
874,Male,45-49,15,26105
875,Male,<18,10,94707
876,Male,25-34,4,43202
877,Male,25-34,0,90631
878,Male,18-24,2,01720
879,Male,45-49,16,92018
880,Male,35-44,17,94114
881,Male,18-24,14,76401
882,Male,18-24,2,01720
883,Female,35-44,14,92673
884,Male,<18,10,49454
885,Male,35-44,0,48105
886,Female,56+,0,14830
887,Female,56+,16,55345
888,Female,<18,10,08820
889,Male,45-49,20,10024
890,Male,18-24,4,92153
891,Male,25-34,1,80202
892,Male,35-44,0,76031
893,Female,50-55,6,85016
894,Male,18-24,4,31602
895,Male,50-55,1,34683
896,Male,18-24,15,94015
897,Male,25-34,6,92130
898,Male,25-34,7,77005
899,Female,25-34,1,30605
900,Female,56+,13,90066
901,Female,56+,0,92027
902,Male,56+,0,45432
903,Male,56+,13,75165
904,Male,35-44,20,92308
905,Female,45-49,12,28655
906,Male,<18,10,71106
907,Female,45-49,6,92117
908,Female,50-55,1,92103
909,Male,45-49,7,92831
910,Female,50-55,0,98226
911,Male,50-55,0,98226
912,Female,35-44,2,91324
913,Male,25-34,0,20744-6223
914,Female,35-44,9,30338
915,Male,25-34,7,72762
916,Female,25-34,1,92084
917,Male,50-55,6,92117
918,Female,45-49,1,91901
919,Female,35-44,1,92056
920,Male,18-24,4,92173
921,Male,25-34,17,92084
922,Male,56+,16,48009
923,Male,25-34,7,37212
924,Male,50-55,17,98642
925,Female,35-44,3,48073
926,Male,<18,10,07869
927,Female,25-34,20,91105
928,Female,56+,16,98199
929,Male,25-34,15,53706
930,Male,25-34,5,98380
931,Female,56+,1,06032
932,Female,35-44,6,97838
933,Male,45-49,1,49419
934,Female,35-44,7,97401
935,Male,35-44,14,60538
936,Male,18-24,4,34567
937,Male,25-34,15,60513
938,Female,25-34,1,01060
939,Female,25-34,20,20110-5616
940,Male,<18,10,76240
941,Male,18-24,20,45387
942,Female,50-55,6,85716
943,Female,45-49,12,08033
944,Male,35-44,0,91505
945,Male,45-49,7,49345
946,Male,35-44,7,48103-8929
947,Male,18-24,0,21015
948,Male,56+,12,43056
949,Male,50-55,17,96753
950,Male,35-44,7,21044
951,Male,45-49,2,10009
952,Male,56+,16,97478
953,Male,50-55,20,97030
954,Female,25-34,0,21030
955,Female,50-55,7,94941
956,Male,35-44,1,55104
957,Male,35-44,1,29706
958,Male,35-44,2,48116
959,Male,50-55,11,44622
960,Male,<18,10,45244
961,Male,18-24,10,10016
962,Female,25-34,1,80020
963,Male,25-34,0,48197
964,Male,25-34,7,94123
965,Male,56+,7,10954
966,Male,56+,2,92262
967,Female,18-24,0,43615
968,Male,50-55,12,94530
969,Female,25-34,11,19103
970,Male,25-34,0,27615
971,Male,25-34,12,43615
972,Male,45-49,1,02138
973,Female,25-34,1,80026
974,Male,35-44,19,94930
975,Male,35-44,0,98136
976,Male,35-44,14,89113
977,Male,25-34,2,80110
978,Male,18-24,0,19116
979,Male,<18,10,48073
980,Male,25-34,6,92014
981,Male,25-34,20,02141
982,Female,25-34,9,92064
983,Female,25-34,16,99224
984,Male,50-55,16,92129
985,Male,25-34,4,32608
986,Female,56+,0,19004
987,Female,35-44,17,48098
988,Male,50-55,11,48823
989,Male,50-55,0,20706
990,Male,18-24,6,10004
991,Female,25-34,9,48103
992,Female,35-44,3,02780
993,Male,25-34,0,45678
994,Male,18-24,2,92109
995,Female,18-24,4,96803
996,Male,25-34,17,98102
997,Male,<18,19,15748
998,Male,45-49,20,10019
999,Male,25-34,15,62558
1000,Female,25-34,6,90027
1001,Male,25-34,4,90210
